Accession	Host	Species	Location	Author	Reference	Pubmed	Gene	Date
JX876595	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876596	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876597	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876598	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876599	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876600	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876601	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876602	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
JX876603	Peltigera membranacea	Nostoc sp.		Manoharan	Symbiosis. 58, 91-98 (2012)		rbcX	130819
KC291407	Peltigera membranacea	Nostoc sp.		Gagunashvili	Unpublished		rbcX	130819
KC437651	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437652	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437653	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437654	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437655	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437656	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437657	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437658	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437659	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437660	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437661	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437662	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437663	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437664	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437665	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437666	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437667	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437668	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437669	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437670	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437671	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437672	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437673	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437674	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437675	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437676	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437677	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437678	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437679	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437680	Peltigera britannica	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437681	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437682	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437683	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437684	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437685	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437686	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437687	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437688	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437689	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437690	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437691	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437692	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437693	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437694	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437695	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437696	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437697	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437698	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437699	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437700	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437701	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437702	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437703	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437704	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437705	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437706	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437707	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437708	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437709	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437710	Peltigera canina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437711	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437712	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437713	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437714	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437715	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437716	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437717	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437718	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437719	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437720	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437721	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437722	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437723	Peltigera praetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437724	Peltigera praetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437725	Peltigera praetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437726	Peltigera sp.	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437727	Peltigera sp.	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437728	Peltigera sp.	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437729	Peltigera sp.	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437730	Peltigera cinnamomea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437731	Peltigera cinnamomea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437732	Peltigera cinnamomea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437733	Peltigera cinnamomea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437734	Peltigera cinnamomea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437735	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437736	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437737	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437738	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437739	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437740	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437741	Peltigera neocanina	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437742	Peltigera neckeri	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437743	Peltigera neckeri	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437744	Peltigera horizontalis	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437745	Peltigera horizontalis	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437746	Peltigera horizontalis	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437747	Peltigera horizontalis	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437748	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437749	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437750	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437751	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437752	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437753	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437754	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437755	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437756	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437757	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437758	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437759	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437760	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437761	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437762	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437763	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437764	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437765	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437766	Peltigera kristinssoni	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437767	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437768	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437769	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437770	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437771	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437772	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437773	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437774	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437775	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437776	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437777	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437778	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437779	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437780	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437781	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437782	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437783	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437784	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437785	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437786	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437787	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437788	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437789	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437790	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437791	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437792	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437793	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437794	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437795	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437796	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437797	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437798	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437799	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437800	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437801	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437802	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437803	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437804	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437805	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437806	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437807	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437808	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437809	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437810	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437811	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437812	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437813	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437814	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437815	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437816	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437817	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437818	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437819	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437820	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437821	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437822	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437823	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437824	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437825	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437826	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437827	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437828	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437829	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437830	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437831	Peltigera degenii	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437832	Peltigera membranacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437833	Peltigera membranacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437834	Peltigera membranacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437835	Peltigera membranacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437836	Peltigera neopolydactyla	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437837	Peltigera polydactylon	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437838	Peltigera ponojensis	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437839	Peltigera ponojensis	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437840	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437841	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437842	Nephroma parile	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437843	Nephroma bellum	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437844	Nephroma parile	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437845	Nephroma parile	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437846	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437847	Nephroma parile	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437848	Peltigera leucophlebia	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437849	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437850	Nephroma parile	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437851	Peltigera venosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437852	Nephroma parile	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437853	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437854	Peltigera aphthosa	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437855	Peltigera fuscopraetextata	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
KC437856	Peltigera malacea	Nostoc sp.		O'Brien	New Phytol. 198 (2), 557-566 (2013)	23406441	rbcX	130819
