S	0	664	*	*	*	*	*	JQ004580	*
H	0	664	100.0	.	0	0	=	JQ004563	JQ004580
H	0	664	100.0	.	0	0	=	JQ004602	JQ004580
H	0	664	100.0	.	0	0	=	JQ004588	JQ004580
H	0	664	100.0	.	0	0	=	JQ004589	JQ004580
H	0	664	100.0	.	0	0	=	JQ004586	JQ004580
H	0	664	100.0	.	0	0	=	JQ004587	JQ004580
H	0	664	100.0	.	0	0	=	JQ004592	JQ004580
H	0	664	100.0	.	0	0	=	JQ004567	JQ004580
H	0	664	100.0	.	0	0	=	JQ004590	JQ004580
H	0	664	100.0	.	0	0	=	JQ004591	JQ004580
H	0	664	100.0	.	0	0	=	JQ004567	JQ004580
H	0	664	100.0	.	0	0	=	JQ004548	JQ004580
H	0	664	100.0	.	0	0	=	JQ004557	JQ004580
H	0	664	100.0	.	0	0	=	JQ004556	JQ004580
H	0	664	100.0	.	0	0	=	JQ004615	JQ004580
H	0	664	100.0	.	0	0	=	JQ004546	JQ004580
H	0	664	100.0	.	0	0	=	JQ004547	JQ004580
H	0	664	100.0	.	0	0	=	JQ004607	JQ004580
H	0	664	100.0	.	0	0	=	JQ004558	JQ004580
H	0	664	100.0	.	0	0	=	JQ004562	JQ004580
H	0	664	100.0	.	0	0	=	JQ004568	JQ004580
H	0	664	100.0	.	0	0	=	JQ004605	JQ004580
H	0	664	100.0	.	0	0	=	JQ004560	JQ004580
H	0	664	100.0	.	0	0	=	JQ004606	JQ004580
H	0	664	100.0	.	0	0	=	JQ004559	JQ004580
H	0	647	100.0	.	0	0	=	JQ004614	JQ004580
H	0	647	100.0	.	0	0	=	JQ004614	JQ004580
S	1	633	*	*	*	*	*	FJ170664	*
H	1	633	100.0	.	0	0	=	FJ170701	FJ170664
H	1	633	100.0	.	0	0	=	FJ170550	FJ170664
H	1	633	100.0	.	0	0	=	FJ170693	FJ170664
H	1	633	100.0	.	0	0	=	FJ170549	FJ170664
H	1	633	100.0	.	0	0	=	FJ170698	FJ170664
H	1	633	100.0	.	0	0	=	FJ170681	FJ170664
H	1	633	100.0	.	0	0	=	FJ170707	FJ170664
H	1	633	100.0	.	0	0	=	FJ170500	FJ170664
H	1	633	100.0	.	0	0	=	FJ170508	FJ170664
H	1	633	100.0	.	0	0	=	FJ170533	FJ170664
H	1	633	100.0	.	0	0	=	FJ170537	FJ170664
H	1	633	100.0	.	0	0	=	FJ170548	FJ170664
H	1	633	100.0	.	0	0	=	FJ170511	FJ170664
H	1	633	100.0	.	0	0	=	FJ170510	FJ170664
H	1	633	100.0	.	0	0	=	FJ170516	FJ170664
H	1	633	100.0	.	0	0	=	FJ170624	FJ170664
H	1	633	100.0	.	0	0	=	FJ170623	FJ170664
H	1	633	100.0	.	0	0	=	FJ170625	FJ170664
H	1	633	100.0	.	0	0	=	FJ170626	FJ170664
H	1	633	100.0	.	0	0	=	FJ170627	FJ170664
H	1	633	100.0	.	0	0	=	FJ170617	FJ170664
H	1	633	100.0	.	0	0	=	FJ170621	FJ170664
H	1	633	100.0	.	0	0	=	FJ170622	FJ170664
H	1	633	100.0	.	0	0	=	FJ170628	FJ170664
H	1	633	100.0	.	0	0	=	FJ170637	FJ170664
H	1	633	100.0	.	0	0	=	FJ170640	FJ170664
H	1	633	100.0	.	0	0	=	FJ170643	FJ170664
H	1	633	100.0	.	0	0	=	FJ170641	FJ170664
H	1	633	100.0	.	0	0	=	FJ170631	FJ170664
H	1	633	100.0	.	0	0	=	FJ170629	FJ170664
H	1	633	100.0	.	0	0	=	FJ170630	FJ170664
H	1	633	100.0	.	0	0	=	FJ170632	FJ170664
H	1	633	100.0	.	0	0	=	FJ170590	FJ170664
H	1	633	100.0	.	0	0	=	FJ170591	FJ170664
H	1	633	100.0	.	0	0	=	FJ170500	FJ170664
H	1	633	100.0	.	0	0	=	FJ170603	FJ170664
H	1	633	100.0	.	0	0	=	FJ170594	FJ170664
H	1	633	100.0	.	0	0	=	FJ170595	FJ170664
H	1	633	100.0	.	0	0	=	FJ170598	FJ170664
H	1	633	100.0	.	0	0	=	FJ170596	FJ170664
H	1	633	100.0	.	0	0	=	FJ170698	FJ170664
H	1	633	100.0	.	0	0	=	FJ170701	FJ170664
H	1	633	100.0	.	0	0	=	FJ170693	FJ170664
H	1	633	100.0	.	0	0	=	FJ170707	FJ170664
H	1	633	100.0	.	0	0	=	FJ170656	FJ170664
H	1	633	100.0	.	0	0	=	FJ170645	FJ170664
H	1	633	100.0	.	0	0	=	FJ170681	FJ170664
H	1	633	100.0	.	0	0	=	FJ170664	FJ170664
H	1	633	100.0	.	0	0	=	FJ170621	FJ170664
H	1	633	100.0	.	0	0	=	FJ170623	FJ170664
H	1	633	100.0	.	0	0	=	FJ170622	FJ170664
H	1	633	100.0	.	0	0	=	FJ170617	FJ170664
H	1	633	100.0	.	0	0	=	FJ170595	FJ170664
H	1	633	100.0	.	0	0	=	FJ170594	FJ170664
H	1	633	100.0	.	0	0	=	FJ170591	FJ170664
H	1	633	100.0	.	0	0	=	FJ170590	FJ170664
H	1	633	100.0	.	0	0	=	FJ170603	FJ170664
H	1	633	100.0	.	0	0	=	FJ170596	FJ170664
H	1	633	100.0	.	0	0	=	FJ170598	FJ170664
H	1	633	100.0	.	0	0	=	FJ170624	FJ170664
H	1	633	100.0	.	0	0	=	FJ170645	FJ170664
H	1	633	100.0	.	0	0	=	FJ170656	FJ170664
H	1	633	100.0	.	0	0	=	FJ170643	FJ170664
H	1	633	100.0	.	0	0	=	FJ170631	FJ170664
H	1	633	100.0	.	0	0	=	FJ170630	FJ170664
H	1	633	100.0	.	0	0	=	FJ170632	FJ170664
H	1	633	100.0	.	0	0	=	FJ170629	FJ170664
H	1	633	100.0	.	0	0	=	FJ170626	FJ170664
H	1	633	100.0	.	0	0	=	FJ170625	FJ170664
H	1	633	100.0	.	0	0	=	FJ170628	FJ170664
H	1	633	100.0	.	0	0	=	FJ170627	FJ170664
H	1	633	100.0	.	0	0	=	FJ170640	FJ170664
H	1	633	100.0	.	0	0	=	FJ170641	FJ170664
H	1	633	100.0	.	0	0	=	FJ170637	FJ170664
H	1	633	100.0	.	0	0	=	FJ170533	FJ170664
H	1	633	100.0	.	0	0	=	FJ170537	FJ170664
H	1	633	100.0	.	0	0	=	FJ170574	FJ170664
H	1	633	100.0	.	0	0	=	FJ170511	FJ170664
H	1	633	100.0	.	0	0	=	FJ170508	FJ170664
H	1	633	100.0	.	0	0	=	FJ170510	FJ170664
H	1	633	100.0	.	0	0	=	FJ170516	FJ170664
H	1	633	100.0	.	0	0	=	FJ170585	FJ170664
H	1	633	100.0	.	0	0	=	FJ170571	FJ170664
H	1	633	100.0	.	0	0	=	FJ170574	FJ170664
H	1	633	100.0	.	0	0	=	FJ170570	FJ170664
H	1	633	100.0	.	0	0	=	FJ170567	FJ170664
H	1	633	100.0	.	0	0	=	FJ170585	FJ170664
H	1	633	100.0	.	0	0	=	FJ170567	FJ170664
H	1	633	100.0	.	0	0	=	FJ170550	FJ170664
H	1	633	100.0	.	0	0	=	FJ170549	FJ170664
H	1	633	100.0	.	0	0	=	FJ170548	FJ170664
H	1	633	100.0	.	0	0	=	FJ170570	FJ170664
H	1	633	100.0	.	0	0	=	FJ170571	FJ170664
S	2	633	*	*	*	*	*	FJ170668	*
H	2	633	100.0	.	0	0	=	FJ170666	FJ170668
H	2	633	100.0	.	0	0	=	FJ170665	FJ170668
H	2	633	100.0	.	0	0	=	FJ170715	FJ170668
H	2	633	100.0	.	0	0	=	FJ170690	FJ170668
H	2	633	100.0	.	0	0	=	FJ170683	FJ170668
H	2	633	100.0	.	0	0	=	FJ170684	FJ170668
H	2	633	100.0	.	0	0	=	FJ170692	FJ170668
H	2	633	100.0	.	0	0	=	FJ170673	FJ170668
H	2	633	100.0	.	0	0	=	FJ170704	FJ170668
H	2	633	100.0	.	0	0	=	FJ170498	FJ170668
H	2	633	100.0	.	0	0	=	FJ170540	FJ170668
H	2	633	100.0	.	0	0	=	FJ170502	FJ170668
H	2	633	100.0	.	0	0	=	FJ170504	FJ170668
H	2	633	100.0	.	0	0	=	FJ170525	FJ170668
H	2	633	100.0	.	0	0	=	FJ170538	FJ170668
H	2	633	100.0	.	0	0	=	FJ170467	FJ170668
H	2	633	100.0	.	0	0	=	FJ170722	FJ170668
H	2	633	100.0	.	0	0	=	FJ170725	FJ170668
H	2	633	100.0	.	0	0	=	FJ170513	FJ170668
H	2	633	100.0	.	0	0	=	FJ170514	FJ170668
H	2	633	100.0	.	0	0	=	FJ170515	FJ170668
H	2	633	100.0	.	0	0	=	FJ170616	FJ170668
H	2	633	100.0	.	0	0	=	FJ170613	FJ170668
H	2	633	100.0	.	0	0	=	FJ170615	FJ170668
H	2	633	100.0	.	0	0	=	FJ170619	FJ170668
H	2	633	100.0	.	0	0	=	FJ170467	FJ170668
H	2	633	100.0	.	0	0	=	FJ170502	FJ170668
H	2	633	100.0	.	0	0	=	FJ170504	FJ170668
H	2	633	100.0	.	0	0	=	FJ170498	FJ170668
H	2	633	100.0	.	0	0	=	FJ170605	FJ170668
H	2	633	100.0	.	0	0	=	FJ170601	FJ170668
H	2	633	100.0	.	0	0	=	FJ170606	FJ170668
H	2	633	100.0	.	0	0	=	FJ170607	FJ170668
H	2	633	100.0	.	0	0	=	FJ170608	FJ170668
H	2	633	100.0	.	0	0	=	FJ170593	FJ170668
H	2	633	100.0	.	0	0	=	FJ170600	FJ170668
H	2	633	100.0	.	0	0	=	FJ170704	FJ170668
H	2	633	100.0	.	0	0	=	FJ170690	FJ170668
H	2	633	100.0	.	0	0	=	FJ170692	FJ170668
H	2	633	100.0	.	0	0	=	FJ170725	FJ170668
H	2	633	100.0	.	0	0	=	FJ170722	FJ170668
H	2	633	100.0	.	0	0	=	FJ170715	FJ170668
H	2	633	100.0	.	0	0	=	FJ170684	FJ170668
H	2	633	100.0	.	0	0	=	FJ170654	FJ170668
H	2	633	100.0	.	0	0	=	FJ170653	FJ170668
H	2	633	100.0	.	0	0	=	FJ170659	FJ170668
H	2	633	100.0	.	0	0	=	FJ170657	FJ170668
H	2	633	100.0	.	0	0	=	FJ170646	FJ170668
H	2	633	100.0	.	0	0	=	FJ170650	FJ170668
H	2	633	100.0	.	0	0	=	FJ170651	FJ170668
H	2	633	100.0	.	0	0	=	FJ170673	FJ170668
H	2	633	100.0	.	0	0	=	FJ170683	FJ170668
H	2	633	100.0	.	0	0	=	FJ170665	FJ170668
H	2	633	100.0	.	0	0	=	FJ170666	FJ170668
H	2	633	100.0	.	0	0	=	FJ170668	FJ170668
H	2	633	100.0	.	0	0	=	FJ170613	FJ170668
H	2	633	100.0	.	0	0	=	FJ170607	FJ170668
H	2	633	100.0	.	0	0	=	FJ170606	FJ170668
H	2	633	100.0	.	0	0	=	FJ170608	FJ170668
H	2	633	100.0	.	0	0	=	FJ170619	FJ170668
H	2	633	100.0	.	0	0	=	FJ170616	FJ170668
H	2	633	100.0	.	0	0	=	FJ170615	FJ170668
H	2	633	100.0	.	0	0	=	FJ170605	FJ170668
H	2	633	100.0	.	0	0	=	FJ170593	FJ170668
H	2	633	100.0	.	0	0	=	FJ170601	FJ170668
H	2	633	100.0	.	0	0	=	FJ170600	FJ170668
H	2	633	100.0	.	0	0	=	FJ170650	FJ170668
H	2	633	100.0	.	0	0	=	FJ170651	FJ170668
H	2	633	100.0	.	0	0	=	FJ170646	FJ170668
H	2	633	100.0	.	0	0	=	FJ170659	FJ170668
H	2	633	100.0	.	0	0	=	FJ170657	FJ170668
H	2	633	100.0	.	0	0	=	FJ170654	FJ170668
H	2	633	100.0	.	0	0	=	FJ170653	FJ170668
H	2	633	100.0	.	0	0	=	FJ170577	FJ170668
H	2	633	100.0	.	0	0	=	FJ170540	FJ170668
H	2	633	100.0	.	0	0	=	FJ170538	FJ170668
H	2	633	100.0	.	0	0	=	FJ170513	FJ170668
H	2	633	100.0	.	0	0	=	FJ170515	FJ170668
H	2	633	100.0	.	0	0	=	FJ170514	FJ170668
H	2	633	100.0	.	0	0	=	FJ170525	FJ170668
H	2	633	100.0	.	0	0	=	FJ170558	FJ170668
H	2	633	100.0	.	0	0	=	FJ170577	FJ170668
H	2	633	100.0	.	0	0	=	FJ170558	FJ170668
S	3	738	*	*	*	*	*	JX036192	*
H	3	738	100.0	.	0	0	=	JX036185	JX036192
H	3	738	100.0	.	0	0	=	JX036190	JX036192
H	3	738	100.0	.	0	0	=	JX036186	JX036192
H	3	738	100.0	.	0	0	=	JX036188	JX036192
H	3	738	100.0	.	0	0	=	JX036187	JX036192
H	3	738	100.0	.	0	0	=	JX036197	JX036192
H	3	738	100.0	.	0	0	=	JX036198	JX036192
H	3	738	100.0	.	0	0	=	JX036199	JX036192
H	3	738	100.0	.	0	0	=	JX036195	JX036192
H	3	738	100.0	.	0	0	=	JX036193	JX036192
H	3	738	100.0	.	0	0	=	JX036196	JX036192
H	3	738	100.0	.	0	0	=	JX036163	JX036192
H	3	738	100.0	.	0	0	=	JX036181	JX036192
H	3	738	100.0	.	0	0	=	JX036175	JX036192
H	3	738	100.0	.	0	0	=	JX036182	JX036192
H	3	738	100.0	.	0	0	=	JX036184	JX036192
H	3	738	100.0	.	0	0	=	JX036183	JX036192
H	3	738	100.0	.	0	0	=	JX036174	JX036192
H	3	738	100.0	.	0	0	=	JX036165	JX036192
H	3	738	100.0	.	0	0	=	JX036164	JX036192
H	3	738	100.0	.	0	0	=	JX036171	JX036192
H	3	738	100.0	.	0	0	=	JX036173	JX036192
H	3	738	100.0	.	0	0	=	JX036202	JX036192
H	3	738	100.0	.	0	0	=	JX036247	JX036192
H	3	738	100.0	.	0	0	=	JX036249	JX036192
H	3	738	100.0	.	0	0	=	JX036270	JX036192
H	3	738	100.0	.	0	0	=	JX036250	JX036192
H	3	738	100.0	.	0	0	=	JX036242	JX036192
H	3	738	100.0	.	0	0	=	JX036235	JX036192
H	3	738	100.0	.	0	0	=	JX036243	JX036192
H	3	738	100.0	.	0	0	=	JX036245	JX036192
H	3	738	100.0	.	0	0	=	JX036244	JX036192
H	3	738	100.0	.	0	0	=	JX036263	JX036192
H	3	738	100.0	.	0	0	=	JX036269	JX036192
H	3	738	100.0	.	0	0	=	JX036265	JX036192
H	3	738	100.0	.	0	0	=	JX036267	JX036192
H	3	738	100.0	.	0	0	=	JX036266	JX036192
H	3	738	100.0	.	0	0	=	JX036256	JX036192
H	3	738	100.0	.	0	0	=	JX036254	JX036192
H	3	738	100.0	.	0	0	=	JX036262	JX036192
H	3	738	100.0	.	0	0	=	JX036261	JX036192
H	3	738	100.0	.	0	0	=	JX036274	JX036192
H	3	738	100.0	.	0	0	=	JX036212	JX036192
H	3	738	100.0	.	0	0	=	JX036214	JX036192
H	3	738	100.0	.	0	0	=	JX036218	JX036192
H	3	738	100.0	.	0	0	=	JX036217	JX036192
H	3	738	100.0	.	0	0	=	JX036204	JX036192
H	3	738	100.0	.	0	0	=	JX036203	JX036192
H	3	738	100.0	.	0	0	=	JX036205	JX036192
H	3	738	100.0	.	0	0	=	JX036275	JX036192
H	3	738	100.0	.	0	0	=	JX036206	JX036192
H	3	738	100.0	.	0	0	=	JX036223	JX036192
H	3	738	100.0	.	0	0	=	JX036222	JX036192
H	3	738	100.0	.	0	0	=	JX036228	JX036192
H	3	738	100.0	.	0	0	=	JX036234	JX036192
H	3	738	100.0	.	0	0	=	JX036233	JX036192
H	3	738	100.0	.	0	0	=	JX036219	JX036192
H	3	738	100.0	.	0	0	=	JX036221	JX036192
H	3	738	100.0	.	0	0	=	JX036220	JX036192
H	3	738	100.0	.	0	0	=	JX036161	JX036192
H	3	738	100.0	.	0	0	=	JX036162	JX036192
S	4	632	*	*	*	*	*	FJ170483	*
H	4	632	100.0	.	0	0	=	FJ170484	FJ170483
H	4	632	100.0	.	0	0	=	FJ170480	FJ170483
H	4	632	100.0	.	0	0	=	FJ170481	FJ170483
H	4	632	100.0	.	0	0	=	FJ170486	FJ170483
H	4	632	100.0	.	0	0	=	FJ170475	FJ170483
H	4	632	100.0	.	0	0	=	FJ170475	FJ170483
H	4	632	100.0	.	0	0	=	FJ170471	FJ170483
H	4	632	100.0	.	0	0	=	FJ170472	FJ170483
H	4	632	100.0	.	0	0	=	FJ170481	FJ170483
H	4	632	100.0	.	0	0	=	FJ170480	FJ170483
H	4	632	100.0	.	0	0	=	FJ170484	FJ170483
H	4	632	100.0	.	0	0	=	FJ170483	FJ170483
H	4	632	100.0	.	0	0	=	FJ170492	FJ170483
H	4	632	100.0	.	0	0	=	FJ170541	FJ170483
H	4	632	100.0	.	0	0	=	FJ170572	FJ170483
H	4	632	100.0	.	0	0	=	FJ170562	FJ170483
H	4	632	100.0	.	0	0	=	FJ170494	FJ170483
H	4	632	100.0	.	0	0	=	FJ170495	FJ170483
H	4	632	100.0	.	0	0	=	FJ170496	FJ170483
H	4	632	100.0	.	0	0	=	FJ170526	FJ170483
H	4	632	100.0	.	0	0	=	FJ170472	FJ170483
H	4	632	100.0	.	0	0	=	FJ170471	FJ170483
H	4	632	100.0	.	0	0	=	FJ170609	FJ170483
H	4	632	100.0	.	0	0	=	FJ170614	FJ170483
H	4	632	100.0	.	0	0	=	FJ170562	FJ170483
H	4	632	100.0	.	0	0	=	FJ170572	FJ170483
H	4	632	100.0	.	0	0	=	FJ170709	FJ170483
H	4	632	100.0	.	0	0	=	FJ170674	FJ170483
H	4	632	100.0	.	0	0	=	FJ170671	FJ170483
H	4	632	100.0	.	0	0	=	FJ170686	FJ170483
H	4	632	100.0	.	0	0	=	FJ170492	FJ170483
H	4	632	100.0	.	0	0	=	FJ170495	FJ170483
H	4	632	100.0	.	0	0	=	FJ170494	FJ170483
H	4	632	100.0	.	0	0	=	FJ170468	FJ170483
H	4	632	100.0	.	0	0	=	FJ170469	FJ170483
H	4	632	100.0	.	0	0	=	FJ170486	FJ170483
H	4	632	100.0	.	0	0	=	FJ170541	FJ170483
H	4	632	100.0	.	0	0	=	FJ170496	FJ170483
H	4	632	100.0	.	0	0	=	FJ170526	FJ170483
H	4	632	100.0	.	0	0	=	FJ170674	FJ170483
H	4	632	100.0	.	0	0	=	FJ170671	FJ170483
H	4	632	100.0	.	0	0	=	FJ170709	FJ170483
H	4	632	100.0	.	0	0	=	FJ170686	FJ170483
H	4	632	100.0	.	0	0	=	FJ170614	FJ170483
H	4	632	100.0	.	0	0	=	FJ170609	FJ170483
H	4	632	100.0	.	0	0	=	FJ170469	FJ170483
H	4	632	100.0	.	0	0	=	FJ170468	FJ170483
S	5	633	*	*	*	*	*	FJ170716	*
H	5	633	100.0	.	0	0	=	FJ170717	FJ170716
H	5	633	100.0	.	0	0	=	FJ170688	FJ170716
H	5	633	100.0	.	0	0	=	FJ170702	FJ170716
H	5	633	100.0	.	0	0	=	FJ170697	FJ170716
H	5	633	100.0	.	0	0	=	FJ170703	FJ170716
H	5	633	100.0	.	0	0	=	FJ170719	FJ170716
H	5	633	100.0	.	0	0	=	FJ170501	FJ170716
H	5	633	100.0	.	0	0	=	FJ170503	FJ170716
H	5	633	100.0	.	0	0	=	FJ170524	FJ170716
H	5	633	100.0	.	0	0	=	FJ170523	FJ170716
H	5	633	100.0	.	0	0	=	FJ170546	FJ170716
H	5	633	100.0	.	0	0	=	FJ170545	FJ170716
H	5	633	100.0	.	0	0	=	FJ170544	FJ170716
H	5	633	100.0	.	0	0	=	FJ170721	FJ170716
H	5	633	100.0	.	0	0	=	FJ170720	FJ170716
H	5	633	100.0	.	0	0	=	FJ170501	FJ170716
H	5	633	100.0	.	0	0	=	FJ170503	FJ170716
H	5	633	100.0	.	0	0	=	FJ170592	FJ170716
H	5	633	100.0	.	0	0	=	FJ170697	FJ170716
H	5	633	100.0	.	0	0	=	FJ170702	FJ170716
H	5	633	100.0	.	0	0	=	FJ170703	FJ170716
H	5	633	100.0	.	0	0	=	FJ170688	FJ170716
H	5	633	100.0	.	0	0	=	FJ170719	FJ170716
H	5	633	100.0	.	0	0	=	FJ170720	FJ170716
H	5	633	100.0	.	0	0	=	FJ170717	FJ170716
H	5	633	100.0	.	0	0	=	FJ170721	FJ170716
H	5	633	100.0	.	0	0	=	FJ170716	FJ170716
H	5	633	100.0	.	0	0	=	FJ170660	FJ170716
H	5	633	100.0	.	0	0	=	FJ170658	FJ170716
H	5	633	100.0	.	0	0	=	FJ170648	FJ170716
H	5	633	100.0	.	0	0	=	FJ170552	FJ170716
H	5	633	100.0	.	0	0	=	FJ170592	FJ170716
H	5	633	100.0	.	0	0	=	FJ170648	FJ170716
H	5	633	100.0	.	0	0	=	FJ170658	FJ170716
H	5	633	100.0	.	0	0	=	FJ170660	FJ170716
H	5	633	100.0	.	0	0	=	FJ170575	FJ170716
H	5	633	100.0	.	0	0	=	FJ170573	FJ170716
H	5	633	100.0	.	0	0	=	FJ170544	FJ170716
H	5	633	100.0	.	0	0	=	FJ170523	FJ170716
H	5	633	100.0	.	0	0	=	FJ170524	FJ170716
H	5	633	100.0	.	0	0	=	FJ170545	FJ170716
H	5	633	100.0	.	0	0	=	FJ170573	FJ170716
H	5	633	100.0	.	0	0	=	FJ170575	FJ170716
H	5	633	100.0	.	0	0	=	FJ170557	FJ170716
H	5	633	100.0	.	0	0	=	FJ170552	FJ170716
H	5	633	100.0	.	0	0	=	FJ170546	FJ170716
H	5	633	100.0	.	0	0	=	FJ170557	FJ170716
S	6	633	*	*	*	*	*	FJ170718	*
H	6	633	100.0	.	0	0	=	FJ170695	FJ170718
H	6	633	100.0	.	0	0	=	FJ170696	FJ170718
H	6	633	100.0	.	0	0	=	FJ170710	FJ170718
H	6	633	100.0	.	0	0	=	FJ170670	FJ170718
H	6	633	100.0	.	0	0	=	FJ170708	FJ170718
H	6	633	100.0	.	0	0	=	FJ170521	FJ170718
H	6	633	100.0	.	0	0	=	FJ170478	FJ170718
H	6	633	100.0	.	0	0	=	FJ170528	FJ170718
H	6	633	100.0	.	0	0	=	FJ170476	FJ170718
H	6	633	100.0	.	0	0	=	FJ170638	FJ170718
H	6	633	100.0	.	0	0	=	FJ170644	FJ170718
H	6	633	100.0	.	0	0	=	FJ170633	FJ170718
H	6	633	100.0	.	0	0	=	FJ170478	FJ170718
H	6	633	100.0	.	0	0	=	FJ170476	FJ170718
H	6	633	100.0	.	0	0	=	FJ170610	FJ170718
H	6	633	100.0	.	0	0	=	FJ170695	FJ170718
H	6	633	100.0	.	0	0	=	FJ170696	FJ170718
H	6	633	100.0	.	0	0	=	FJ170718	FJ170718
H	6	633	100.0	.	0	0	=	FJ170710	FJ170718
H	6	633	100.0	.	0	0	=	FJ170708	FJ170718
H	6	633	100.0	.	0	0	=	FJ170655	FJ170718
H	6	633	100.0	.	0	0	=	FJ170670	FJ170718
H	6	633	100.0	.	0	0	=	FJ170610	FJ170718
H	6	633	100.0	.	0	0	=	FJ170555	FJ170718
H	6	633	100.0	.	0	0	=	FJ170644	FJ170718
H	6	633	100.0	.	0	0	=	FJ170655	FJ170718
H	6	633	100.0	.	0	0	=	FJ170633	FJ170718
H	6	633	100.0	.	0	0	=	FJ170638	FJ170718
H	6	633	100.0	.	0	0	=	FJ170528	FJ170718
H	6	633	100.0	.	0	0	=	FJ170578	FJ170718
H	6	633	100.0	.	0	0	=	FJ170579	FJ170718
H	6	633	100.0	.	0	0	=	FJ170586	FJ170718
H	6	633	100.0	.	0	0	=	FJ170521	FJ170718
H	6	633	100.0	.	0	0	=	FJ170556	FJ170718
H	6	633	100.0	.	0	0	=	FJ170586	FJ170718
H	6	633	100.0	.	0	0	=	FJ170578	FJ170718
H	6	633	100.0	.	0	0	=	FJ170579	FJ170718
H	6	633	100.0	.	0	0	=	FJ170556	FJ170718
