Accession	Group	Representative	Host	Species	Clade	Strain	Location	Author	Reference	Pubmed	Gene	Date
JX036208	Group 99	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036210	Group 19	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036224	Group 19	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036225	Group 19	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036253	Group 21	REDUNDANT	Austrolecia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036273	UNIQUE	IN TREE	Austrolecia sp.	Trebouxia sp.	T. jamesii			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
HQ026148	Group 79	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026149	Group 79	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026150	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026151	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026152	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026153	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026154	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026155	Group 83	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026156	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026157	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026158	Group 79	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026159	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026160	Group 85	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026161	Group 80	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026162	Group 175	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. impressa			Liu	Unpublished  		ITS	130601
HQ026163	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. impressa			Liu	Unpublished  		ITS	130601
HQ026164	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026165	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026166	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026167	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026168	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026169	Group 176	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. impressa			Liu	Unpublished  		ITS	130601
HQ026170	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026171	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026173	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026174	Group 88	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026175	Group 88	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026176	Group 88	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026177	Group 88	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026178	Group 89	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026179	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026180	Group 89	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026181	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026182	Group 85	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026183	Group 89	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026184	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026185	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026186	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026187	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026188	Group 176	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. impressa			Liu	Unpublished  		ITS	130601
HQ026189	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026190	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026191	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026192	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026193	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026194	Group 177	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. jamesii			Liu	Unpublished  		ITS	130601
HQ026195	Group 177	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. jamesii			Liu	Unpublished  		ITS	130601
HQ026196	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026197	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026198	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026199	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026200	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026201	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026202	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026203	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026204	Group 178	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. impressa			Liu	Unpublished  		ITS	130601
HQ026205	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026206	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026207	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026208	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026209	Group 80	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026210	Group 179	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. jamesii			Liu	Unpublished  		ITS	130601
HQ026211	Group 179	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. jamesii			Liu	Unpublished  		ITS	130601
HQ026212	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. jamesii			Liu	Unpublished  		ITS	130601
HQ026213	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026214	Group 83	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026215	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026216	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026217	Group 87	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026218	UNIQUE	IN TREE	Boreoplaca ultrafrigida	Trebouxia sp.	T. sp. 2			Liu	Unpublished  		ITS	130601
HQ026219	Group 176	REDUNDANT	Boreoplaca ultrafrigida	Trebouxia sp.	T. impressa			Liu	Unpublished  		ITS	130601
AJ293782	Group 58	IN TREE	Buellia elegans	Trebouxia sp.	T. asymmetrica			Helms	Lichenologist (Lond.) 33 (1)  73-86 (2001) 		ITS	130601
JX036164	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036169	Group 21	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036170	Group 19	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036179	Group 107	REDUNDANT	Buellia frigida	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036191	Group 19	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036192	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036200	Group 19	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036202	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036206	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036213	UNIQUE	IN TREE	Buellia frigida	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036215	Group 19	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036221	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036245	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036261	Group 20	REDUNDANT	Buellia frigida	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036272	Group 97	IN TREE	Buellia frigida	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
AJ293783	Group 60	REDUNDANT	Buellia georgei	Trebouxia sp.	T. gigantea			Helms	Lichenologist (Lond.) 33 (1)  73-86 (2001) 		ITS	130601
FJ626728	Group 40	REDUNDANT	Buellia punctata	Trebouxia decolorans	T. decolorans	UTEX B781		del Campo	Taxon 59 (2)  588-591 (2010) 		ITS	130601
JX036165	Group 20	REDUNDANT	Buellia sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
AJ293784	Group 42	IN TREE	Buellia zoharyi	Trebouxia sp.	T. asymmetrica			Helms	Lichenologist (Lond.) 33 (1)  73-86 (2001) 		ITS	130601
EF095233	UNIQUE	IN TREE	Caloplaca agardhiana	Trebouxia sp.	T. sp. 5			Muggia	Mycol. Res 112  36-49 (2008) 		ITS	130601
EF095232	UNIQUE	IN TREE	Caloplaca alociza	Trebouxia sp.	T. sp. 5			Muggia	Mycol. Res 112  36-49 (2008) 		ITS	130601
EF095234	Group 68	REDUNDANT	Caloplaca badioreagens	Trebouxia sp.	T. sp. 5			Muggia	Mycol. Res 112  36-49 (2008) 		ITS	130601
AJ249577	UNIQUE	IN TREE	Caloplaca cerina	Trebouxia gigantea	T. gigantea	UTEX 2231		Friedl	Mol. Phylogenet. Evol. 14 (3)  342-352 (2000) 	10712840	ITS	130601
AF242468	UNIQUE	IN TREE	Caloplaca cerina	Trebouxia gigantea	T. gigantea	UTEX 2231		Kroken	Bryologist 103 (4)  645-660 (2000) 		ITS	130601
EF095230	UNIQUE	IN TREE	Caloplaca erodens	Trebouxia sp.	T. sp. 4			Muggia	Mycol. Res 112  36-49 (2008) 		ITS	130601
EF095231	UNIQUE	IN TREE	Caloplaca erodens	Trebouxia sp.	T. sp. 4			Muggia	Mycol. Res 112  36-49 (2008) 		ITS	130601
JQ993799	UNIQUE	IN TREE	Caloplaca fernandeziana	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993758	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993759	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia decolorans	T. decolorans			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993760	Group 23	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993761	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993762	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993763	Group 23	REDUNDANT	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993764	Group 24	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993765	Group 24	REDUNDANT	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993766	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993767	Group 24	REDUNDANT	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993771	Group 25	REDUNDANT	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993772	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia gigantea	T. gigantea			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993773	Group 25	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993779	Group 26	REDUNDANT	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993780	Group 26	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993782	Group 52	REDUNDANT	Caloplaca orthoclada	Trebouxia gigantea	T. gigantea			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993797	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993798	UNIQUE	IN TREE	Caloplaca orthoclada	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JX036157	Group 19	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036158	Group 19	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036181	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036182	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036183	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036187	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036188	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036189	Group 19	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036195	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036198	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036212	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036219	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036220	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036246	UNIQUE	IN TREE	Caloplaca sp.	Trebouxia sp.	T. sp. 4			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JX036247	Group 20	REDUNDANT	Caloplaca sp.	Trebouxia sp.	T. decolorans			Perez-Ortega	FEMS Microbiol. Ecol. 82 (2)  429-448 (2012) 	22671139	ITS	130601
JQ993783	Group 52	IN TREE	Caloplaca sp.	Trebouxia gigantea	T. gigantea			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993768	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia decolorans	T. decolorans			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993774	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993776	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993777	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia decolorans	T. decolorans			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993778	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993781	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993784	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993785	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993788	UNIQUE	IN TREE	Caloplaca sp. 1	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993769	Group 24	REDUNDANT	Caloplaca sp. 2	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993770	UNIQUE	IN TREE	Caloplaca sp. 2	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
JQ993775	UNIQUE	IN TREE	Caloplaca sp. 2	Trebouxia arboricola	T. arboricola			Vargas Castillo	Fungal Biol 116 (6)  665-676 (2012) 	22658312	ITS	130601
