D10997	 	Chlorella vulgaris	C-27	 			Yoshinaga	"Plant Mol. Biol. 10, 245-250 (1988)"	 
FJ217377	Anthopleura xanthogrammica	Elliptochloris marina	ZC-109	OR	"Coos Bay, Cape Arago"		Letsch	Unpublished	 
FJ217376	Anthopleura xanthogrammica	Elliptochloris marina	ZC-105	OR	"Coos Bay, Cape Arago"		Letsch	Unpublished	 
FJ217375	Anthopleura xanthogrammica	Elliptochloris marina	ZC-103	OR	"Coos Bay, Bastendorff Beach"		Letsch	Unpublished	 
FJ217374	Anthopleura elegantissima	Elliptochloris marina	ZC-113	WA	"Anacortes, Shannon Point Beach"		Letsch	Unpublished	 
FJ217373	Anthopleura xanthogrammica	Elliptochloris marina	 	 			Letsch	Unpublished	 
FJ217372	Anthopleura xanthogrammica	Elliptochloris marina	ZC-107	AK	"Sitka, Magic Island"		Letsch	Unpublished	 
FJ217371	Anthopleura xanthogrammica	Elliptochloris marina	ZC-106	AK	"Sitka, John Brown Beach"		Letsch	Unpublished	 
FJ217370	Anthopleura xanthogrammica	Elliptochloris marina	ZC-104	AK	"Sitka, Magic Island"		Letsch	Unpublished	 
FJ217369	Anthopleura xanthogrammica	Elliptochloris marina	ZC-102	AK	"Sitka, Whale Point"		Letsch	Unpublished	 
FJ217368	Anthopleura xanthogrammica	Elliptochloris marina	ZC-101	WA	"Anacortes, Shannon Point Marine Lab"		Letsch	Unpublished	 
HQ317303	 	Elliptochloris marina		 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ317302	 	Elliptochloris marina		 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ317301	 	Elliptochloris marina		 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ317300	 	Elliptochloris marina		 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ317299	 	Elliptochloris marina		 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ317298	 	Elliptochloris marina		 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HQ317297	 	Elliptochloris marina	 	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
HM754407	 	Elliptochloris philistinensis	LCR-CG5	 			Novis	Unpublished	 
FJ217382	free-living	Elliptochloris subsphaerica	SAG 2202	Japan		34.409884 / 132.450113	Letsch	Unpublished	 
FJ217381	 	Elliptochloris sp.	 	 			Letsch	Unpublished	 
FJ217380	free-living	Elliptochloris sp.	SAG 2117	Germany			Letsch	Unpublished	 
FJ217379	Catolechia wahlenbergii	Elliptochloris bilobata	SAG 245.80	Austria		46.801117 / 12.964525	Letsch	Unpublished	 
HQ317293	 	Elliptochloris reniformis	 	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JN573805	Verrucaria hydrela	Elliptochloris sp.	 	 			Thues	"Eur. J. Phycol. 46 (4), 399-415 (2011)"	 
FJ217384	Unknown	Coccomyxa rayssiae	UTEX 273	 			Letsch	Unpublished	 
FJ217383	free-living	Choricystis chodatii	SAG 216-2	Switzerland		46.404723 / 6.524277	Letsch	Unpublished	 
JF913550	 	Elliptochloris marina	247_XC	 			Letsch	Unpublished	 
JF913549	 	Elliptochloris marina	246_XC	 			Letsch	Unpublished	 
JF913548	 	Elliptochloris marina	242_XC	 			Letsch	Unpublished	 
JF913547	 	Elliptochloris marina	236_XC	 			Letsch	Unpublished	 
JF913546	 	Elliptochloris marina	227_XC	 			Letsch	Unpublished	 
JF913545	 	Elliptochloris marina	225_XC	 			Letsch	Unpublished	 
JF913544	 	Elliptochloris marina	223_XC	 			Letsch	Unpublished	 
JF913543	 	Elliptochloris marina	274_XO	 			Letsch	Unpublished	 
JF913542	 	Elliptochloris marina	273_XO	 			Letsch	Unpublished	 
JF913541	 	Elliptochloris marina	272_XO	 			Letsch	Unpublished	 
JF913540	 	Elliptochloris marina	217_XO	 			Letsch	Unpublished	 
JF913539	 	Elliptochloris marina	108_XO	 			Letsch	Unpublished	 
JF913538	 	Elliptochloris marina	W165_EW	 			Letsch	Unpublished	 
JF913537	 	Elliptochloris marina	W156_EW	 			Letsch	Unpublished	 
JF913536	 	Elliptochloris marina	W154_EW	 			Letsch	Unpublished	 
JF913535	 	Elliptochloris marina	W152_EW	 			Letsch	Unpublished	 
JF913534	 	Elliptochloris marina	Sp241_EW	 			Letsch	Unpublished	 
JF913533	 	Elliptochloris marina	Sp228_EW	 			Letsch	Unpublished	 
JF913532	 	Elliptochloris marina	S31_EW	 			Letsch	Unpublished	 
JF913531	 	Elliptochloris marina	204_EW	 			Letsch	Unpublished	 
JF913530	 	Elliptochloris marina	201_EW	 			Letsch	Unpublished	 
JF913529	 	Elliptochloris marina	183_EW	 			Letsch	Unpublished	 
JF913528	 	Elliptochloris marina	178_EW	 			Letsch	Unpublished	 
JF913527	 	Elliptochloris marina	172_EW	 			Letsch	Unpublished	 
JF913526	 	Elliptochloris marina	136_EW	 			Letsch	Unpublished	 
JF913525	 	Elliptochloris marina	129_EW	 			Letsch	Unpublished	 
JF913524	 	Elliptochloris marina	124_EW	 			Letsch	Unpublished	 
JF913523	 	Elliptochloris marina	121_EW	 			Letsch	Unpublished	 
JF913522	 	Elliptochloris marina	F67_XW	 			Letsch	Unpublished	 
JF913521	 	Elliptochloris marina	F61_XW	 			Letsch	Unpublished	 
JF913520	 	Elliptochloris marina	F57_XW	 			Letsch	Unpublished	 
JF913519	 	Elliptochloris marina	F56_XW	 			Letsch	Unpublished	 
JF913518	 	Elliptochloris marina	Sp110_XW	 			Letsch	Unpublished	 
JF913517	 	Elliptochloris marina	203_XW	 			Letsch	Unpublished	 
JF913516	 	Elliptochloris marina	202_XW	 			Letsch	Unpublished	 
JF913515	 	Elliptochloris marina	200_XW	 			Letsch	Unpublished	 
JF913514	 	Elliptochloris marina	191_XW	 			Letsch	Unpublished	 
JF913513	 	Elliptochloris marina	185_XW	 			Letsch	Unpublished	 
JF913512	 	Elliptochloris marina	173_XW	 			Letsch	Unpublished	 
JF913511	 	Elliptochloris marina	170_XW	 			Letsch	Unpublished	 
JF913510	 	Elliptochloris marina	167_XW	 			Letsch	Unpublished	 
JF913509	 	Elliptochloris marina	165_XW	 			Letsch	Unpublished	 
JF913508	 	Elliptochloris marina	164_XW	 			Letsch	Unpublished	 
JF913507	 	Elliptochloris marina	162_XW	 			Letsch	Unpublished	 
JF913506	 	Elliptochloris marina	160_XW	 			Letsch	Unpublished	 
JF913505	 	Elliptochloris marina	155_XW	 			Letsch	Unpublished	 
JF913504	 	Elliptochloris marina	152_XW	 			Letsch	Unpublished	 
JF913503	 	Elliptochloris marina	148_XW	 			Letsch	Unpublished	 
JF913502	 	Elliptochloris marina	215_XA	 			Letsch	Unpublished	 
JF913501	 	Elliptochloris marina	214_XA	 			Letsch	Unpublished	 
JF913500	 	Elliptochloris marina	213_XA	 			Letsch	Unpublished	 
JF913499	 	Elliptochloris marina	212_XA	 			Letsch	Unpublished	 
JF913498	 	Elliptochloris marina	211_XA	 			Letsch	Unpublished	 
JF913497	 	Elliptochloris marina	210_XA	 			Letsch	Unpublished	 
JF913496	 	Elliptochloris marina	208_XA	 			Letsch	Unpublished	 
JF913495	 	Elliptochloris marina	207_XA	 			Letsch	Unpublished	 
JF913494	 	Elliptochloris marina	206_XA	 			Letsch	Unpublished	 
JF930338	 	Elliptochloris marina	ZC181	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930337	 	Elliptochloris marina	ZC127	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930336	 	Elliptochloris marina	ZC175	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930335	 	Elliptochloris marina	ZC216	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930334	 	Elliptochloris marina	ZC209	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930333	 	Elliptochloris marina	ZC205	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930332	 	Elliptochloris marina	ZC128	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930331	 	Elliptochloris marina	ZC107	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JN021323	 	Elliptochloris bilobata	SAG 245.80	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JN021322	 	Elliptochloris sp.	SAG 2201	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930339	 	Elliptochloris sp.	SAG2117	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
JF930330	 	Elliptochloris subsphaerica	SAG 2202	 			Letsch	"Mol. Phylogenet. Evol. 64 (3), 524-532 (2012)"	22659018
