Accession,Group,Representative,Host,Species,Clade,Strain,Location,Author,Reference,Pubmed,Gene,Date
"AB084333","UNIQUE","IN TREE","Free-living","Pediastrum duplex","","NIES-213"," ","Nozaki","J. Mol. Evol. 55 (4), 414-430 (2002)","12355262","rbcL","131021"
"AB084338","UNIQUE","IN TREE","Free-living","Characiochloris sasae","","NIES-567"," ","Nozaki","J. Mol. Evol. 55 (4), 414-430 (2002)","12355262","rbcL","131021"
"AB086174","UNIQUE","IN TREE","Free-living","Volvox tertius","","NIES-544"," ","Nozaki","Biologia (2003) In press"," ","rbcL","131021"
"AB097611","UNIQUE","IN TREE","Free-living","Ulvaria fusca",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097612","Group 102","IN TREE","Free-living","Umbraulva japonica",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097613","Group 102","REDUNDANT","Free-living","Umbraulva japonica",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097614","UNIQUE","IN TREE","Free-living","Umbraulva amamiensis",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097615","UNIQUE","IN TREE","Free-living","Ulva compressa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097616","Group 048","REDUNDANT","Free-living","Ulva intestinalis",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097617","Group 048","IN TREE","Free-living","Ulva intestinalis",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097618","UNIQUE","IN TREE","Free-living","Ulva flexuosa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097619","UNIQUE","IN TREE","Free-living","Ulva flexuosa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097620","UNIQUE","IN TREE","Free-living","Ulva linza",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097621","UNIQUE","IN TREE","Free-living","Ulva arasakii",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097622","Group 093","IN TREE","Free-living","Ulva lactuca",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097623","Group 093","REDUNDANT","Free-living","Ulva lactuca",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097624","Group 013","IN TREE","Free-living","Ulva pertusa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097625","Group 013","REDUNDANT","Free-living","Ulva pertusa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097626","Group 013","REDUNDANT","Free-living","Ulva pertusa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097627","Group 013","REDUNDANT","Free-living","Ulva pertusa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097628","Group 013","REDUNDANT","Free-living","Ulva pertusa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097629","Group 019","REDUNDANT","Free-living","Ulva scandinavica",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097630","Group 019","REDUNDANT","Free-living","Ulva armoricana",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097631","Group 019","REDUNDANT","Free-living","Ulva armoricana",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097632","Group 019","IN TREE","Free-living","Ulva armoricana",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097633","Group 108","IN TREE","Free-living","Ulva fasciata",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097634","Group 108","REDUNDANT","Free-living","Ulva fasciata",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097635","UNIQUE","IN TREE","Free-living","Ulva reticulata",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB097636","UNIQUE","IN TREE","Free-living","Ulva spinulosa",""," "," ","Shimada","Phycological Res. 51, 99-108 (2003)"," ","rbcL","131021"
"AB116035","Group 002","REDUNDANT","Free-living","Ulva ohnoi",""," "," ","Hiraoka","Phycological Res. 52, 17-29 (2004)"," ","rbcL","131021"
"AB116036","Group 002","REDUNDANT","Free-living","Ulva ohnoi",""," "," ","Hiraoka","Phycological Res. 52, 17-29 (2004)"," ","rbcL","131021"
"AB116037","Group 002","REDUNDANT","Free-living","Ulva ohnoi",""," "," ","Hiraoka","Phycological Res. 52, 17-29 (2004)"," ","rbcL","131021"
"AB116038","Group 002","REDUNDANT","Free-living","Ulva ohnoi",""," "," ","Hiraoka","Phycological Res. 52, 17-29 (2004)"," ","rbcL","131021"
"AB116039","Group 002","REDUNDANT","Free-living","Ulva ohnoi",""," "," ","Hiraoka","Phycological Res. 52, 17-29 (2004)"," ","rbcL","131021"
"AB116040","Group 002","REDUNDANT","Free-living","Ulva ohnoi",""," "," ","Hiraoka","Phycological Res. 52, 17-29 (2004)"," ","rbcL","131021"
"AB127987","UNIQUE","IN TREE","Free-living","Chlamydomonas acidophila","","DVB238"," ","Hosomi","Unpublished"," ","rbcL","131021"
"AB127988","UNIQUE","IN TREE","Free-living","Chlamydomonas parkeae","","NIES-440"," ","Hosomi","Unpublished"," ","rbcL","131021"
"AB127989","UNIQUE","IN TREE","Free-living","Chlamydomonas sp.","","LG-2"," ","Hosomi","Unpublished"," ","rbcL","131021"
"AB127990","UNIQUE","IN TREE","Free-living","Dunaliella bardawil","","TS-1"," ","Hosomi","Unpublished"," ","rbcL","131021"
"AB127991","Group 009","REDUNDANT","Free-living","Dunaliella bioculata","","TS-2"," ","Hosomi","Unpublished"," ","rbcL","131021"
"AB127992","Group 009","REDUNDANT","Free-living","Dunaliella primolecta","","TS-3"," ","Hosomi","Unpublished"," ","rbcL","131021"
"AB175942","Group 035","IN TREE","Free-living","Asterococcus korschikoffii","","ACOI 238"," ","Nakazawa","Phycologia 43, 711-721 (2004)"," ","rbcL","131021"
"AB175943","Group 035","REDUNDANT","Free-living","Asterococcus korschikoffii","","ACOI 326"," ","Nakazawa","Phycologia 43, 711-721 (2004)"," ","rbcL","131021"
"AB175944","Group 035","REDUNDANT","Free-living","Asterococcus korschikoffii","","ACOI 961"," ","Nakazawa","Phycologia 43, 711-721 (2004)"," ","rbcL","131021"
"AB204869","UNIQUE","IN TREE","Free-living","Carteria palmata","","NIES-1336"," ","Suda","Phycologia 44, 596-607 (2005)"," ","rbcL","131021"
"AB206329","Group 046","IN TREE","Free-living","Chlorogonium elongatum","","SkCl-2"," ","Nakada","J. Jpn. Bot. 80, 197-207 (2005)"," ","rbcL","131021"
"AB206330","Group 046","REDUNDANT","Free-living","Chlorogonium elongatum","","Chlogo-1/1998-3-7"," ","Nakada","J. Jpn. Bot. 80, 197-207 (2005)"," ","rbcL","131021"
"AB206331","UNIQUE","IN TREE","Free-living","Gungnir kasakii","","SkCl-5"," ","Nakada","J. Jpn. Bot. 80, 197-207 (2005)"," ","rbcL","131021"
"AB206332","UNIQUE","IN TREE","Free-living","Gungnir kasakii","","KhCl-3"," ","Nakada","J. Jpn. Bot. 80, 197-207 (2005)"," ","rbcL","131021"
"AB214408","UNIQUE","IN TREE","Free-living","Pleodorina thompsonii","","UTEX 2804"," ","Nozaki","J. Phycol. 42, 1072-1080 (2006)"," ","rbcL","131021"
"AB214420","UNIQUE","IN TREE","Free-living","Volvox dissipatrix",""," "," ","Nozaki","J. Phycol. 42, 1072-1080 (2006)"," ","rbcL","131021"
"AB240145","UNIQUE","IN TREE","Free-living","Chlorella pyrenoidosa","","SUN CHLORELLA"," ","Kuma","Unpublished"," ","rbcL","131021"
"AB246187","UNIQUE","IN TREE","Free-living","Gonium multicoccum","","NIES-1038"," ","Yamada","Shokubutsu Kenkyu Zasshi 81, 139-147 (2006)"," ","rbcL","131021"
"AB246189","UNIQUE","IN TREE","Free-living","Gonium pectorale","","NIES-1713"," ","Yamada","Shokubutsu Kenkyu Zasshi 81, 139-147 (2006)"," ","rbcL","131021"
"AB246190","Group 463","IN TREE","Free-living","Gonium pectorale","","NIES-1711"," ","Yamada","Shokubutsu Kenkyu Zasshi 81, 139-147 (2006)"," ","rbcL","131021"
"AB260899","Group 008","REDUNDANT","Paramecium bursaria","Chlorella variabilis","","OK1-ZK"," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260900","Group 008","REDUNDANT","Paramecium bursaria","Chlorella variabilis","","F36-ZK"," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260901","Group 008","REDUNDANT","Paramecium bursaria","Chlorella",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260902","Group 008","IN TREE","Paramecium bursaria","Chlorella",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260903","Group 008","REDUNDANT","Free-living","Chlorella variabilis","","NC64A"," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260904","UNIQUE","IN TREE","Free-living","Chlorella variabilis","","Syngen 2-3"," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260905","Group 071","IN TREE","Paramecium bursaria","Chlorella",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260907","Group 071","REDUNDANT","Paramecium bursaria","Chlorella",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260908","Group 563","REDUNDANT","Paramecium bursaria","Chlorella",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260909","Group 563","IN TREE","Free-living","Chlorella vulgaris",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260910","UNIQUE","IN TREE","Free-living","Chlorella sp.","","IFRPD 1014"," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260911","UNIQUE","IN TREE","Free-living","Chlorella sp.","","IFRPD 1018"," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB260912","Group 599","REDUNDANT","Free-living","Parachlorella kessleri",""," "," ","Hoshina","Unpublished"," ","rbcL","131021"
"AB278628","Group 072","IN TREE","Free-living","Tetrabaena socialis","","SAG 12-3"," ","Nakada","Eur. J. Phycol. 42, 177-182 (2007)"," ","rbcL","131021"
"AB359064","UNIQUE","IN TREE","Free-living","Yamagishiella unicocca","","NIES-870"," ","Yamada","Eur. J. Phycol. (2008) In press"," ","rbcL","131021"
"AB359065","Group 057","REDUNDANT","Free-living","Yamagishiella unicocca","","Hasu-1"," ","Yamada","Eur. J. Phycol. (2008) In press"," ","rbcL","131021"
"AB359066","Group 051","REDUNDANT","Free-living","Eudorina unicocca","","TKI-C-2"," ","Yamada","Eur. J. Phycol. (2008) In press"," ","rbcL","131021"
"AB359067","Group 051","IN TREE","Free-living","Eudorina peripheralis","","990601-1E-5"," ","Yamada","Eur. J. Phycol. (2008) In press"," ","rbcL","131021"
"AB359068","Group 084","REDUNDANT","Free-living","Eudorina peripheralis","","UTEX 1221"," ","Yamada","Eur. J. Phycol. (2008) In press"," ","rbcL","131021"
"AB360752","UNIQUE","IN TREE","Free-living","Characiochloris acuminata","","NIES-637"," ","Nakada","J. Phycol. 44, 751-760 (2008)"," ","rbcL","131021"
"AB360753","UNIQUE","IN TREE","Free-living","Chlamydomonas applanata","","SAG 11-9"," ","Nakada","J. Phycol. 44, 751-760 (2008)"," ","rbcL","131021"
"AB360754","UNIQUE","IN TREE","Free-living","Chlamydomonas perpusilla var. perpusilla","","NIES-1849"," ","Nakada","J. Phycol. 44, 751-760 (2008)"," ","rbcL","131021"
"AB360755","UNIQUE","IN TREE","Free-living","Chlamydomonas pumilio var. pumilio","","NIES-1850"," ","Nakada","J. Phycol. 44, 751-760 (2008)"," ","rbcL","131021"
"AB360756","UNIQUE","IN TREE","Free-living","Gungnir neglectum","","IkCl-701"," ","Nakada","J. Phycol. 44, 751-760 (2008)"," ","rbcL","131021"
"AB360758","UNIQUE","IN TREE","Free-living","Nautococcus solutus","","SAG 76.80"," ","Nakada","J. Phycol. 44, 751-760 (2008)"," ","rbcL","131021"
"AB383150","UNIQUE","IN TREE","Free-living","Nannochloris bacillaris",""," "," ","Sumiya","Unpublished"," ","rbcL","131021"
"AB425968","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Ichihara","Unpublished"," ","rbcL","131021"
"AB434267","Group 032","IN TREE","Free-living","Chloromonas miwae",""," "," ","Muramoto","Eur. J. Phycol. 45, 27-37 (2010)"," ","rbcL","131021"
"AB434268","Group 032","REDUNDANT","Free-living","Chloromonas miwae",""," "," ","Muramoto","Eur. J. Phycol. 45, 27-37 (2010)"," ","rbcL","131021"
"AB434269","Group 032","REDUNDANT","Free-living","Chloromonas miwae",""," "," ","Muramoto","Eur. J. Phycol. 45, 27-37 (2010)"," ","rbcL","131021"
"AB434270","UNIQUE","IN TREE","Free-living","Chloromonas miwae","","STR"," ","Muramoto","Eur. J. Phycol. 45, 27-37 (2010)"," ","rbcL","131021"
"AB434271","UNIQUE","IN TREE","Free-living","Chloromonas miwae","","GS1"," ","Muramoto","Eur. J. Phycol. 45, 27-37 (2010)"," ","rbcL","131021"
"AB451191","UNIQUE","IN TREE","Free-living","Brachiomonas sp.","","NBRC 102903"," ","Nakada","J. Phycol. 45, 482-492 (2009)"," ","rbcL","131021"
"AB451192","UNIQUE","IN TREE","Free-living","Chlorosarcinopsis arenicola","","UTEX 1697"," ","Nakada","J. Phycol. 45, 482-492 (2009)"," ","rbcL","131021"
"AB451193","UNIQUE","IN TREE","Free-living","Hamakko caudatus","","KzCl-4-1"," ","Nakada","J. Phycol. 45, 482-492 (2009)"," ","rbcL","131021"
"AB458679","UNIQUE","IN TREE","Free-living","Eudorina sp.","","2006-703-Eu-15"," ","Yamada","Hikobia 15, 135-143 (2008)"," ","rbcL","131021"
"AB491655","UNIQUE","IN TREE","Free-living","Monomastix minuta",""," "," ","Chikuni","Unpublished"," ","rbcL","131021"
"AB504764","UNIQUE","IN TREE","Free-living","Chloromonas augustae","","SAG 5.73"," ","Nozaki","J. Phycol. 46, 195-201 (2010)"," ","rbcL","131021"
"AB504765","UNIQUE","IN TREE","Free-living","Chloromonas rubrifilum","","SAG 3.85"," ","Nozaki","J. Phycol. 46, 195-201 (2010)"," ","rbcL","131021"
"AB504767","UNIQUE","IN TREE","Free-living","Gloeomonas sp.","","SAG 6.91"," ","Nozaki","J. Phycol. 46, 195-201 (2010)"," ","rbcL","131021"
"AB511845","Group 052","REDUNDANT","Free-living","Chlamydomonas reinhardtii","","UTEX 90"," ","Nakada","J. Plant Res. (2009) In press","19882207","rbcL","131021"
"AB511846","Group 052","IN TREE","Free-living","Chlamydomonas reinhardtii","","KkS0801B1"," ","Nakada","J. Plant Res. (2009) In press","19882207","rbcL","131021"
"AB511847","UNIQUE","IN TREE","Free-living","Chlamydomonas globosa","","SAG 7.73"," ","Nakada","J. Plant Res. (2009) In press","19882207","rbcL","131021"
"AB511848","UNIQUE","IN TREE","Free-living","Chlamydomonas globosa","","TkS0803C2"," ","Nakada","J. Plant Res. (2009) In press","19882207","rbcL","131021"
"AB511849","UNIQUE","IN TREE","Free-living","Chlamydomonas orbicularis","","SAG 11-19"," ","Nakada","J. Plant Res. (2009) In press","19882207","rbcL","131021"
"AB542927","UNIQUE","IN TREE","Free-living","Pyrobotrys squarrosa","","KrCl905"," ","Nakada","J. Eukaryot. Microbiol. 57 (4), 379-382 (2010)","20553352","rbcL","131021"
"AB542929","UNIQUE","IN TREE","Free-living","Pascherina tetras","","SAG 159-1"," ","Nakada","J. Eukaryot. Microbiol. 57 (4), 379-382 (2010)","20553352","rbcL","131021"
"AB561085","UNIQUE","IN TREE","Free-living","Pedinophyceae sp.","","YPF-701"," ","Matsumoto","Protist 162 (2), 268-276 (2011)","20829107","rbcL","131021"
"AB592342","UNIQUE","IN TREE","Free-living","Volvox ovalis",""," "," ","Nozaki","J. Phycol. 47, 673-679 (2011)"," ","rbcL","131021"
"AB593419","UNIQUE","IN TREE","Free-living","Volvulina compacta","","TN-0205-2-Pn-1"," ","Nakada","J. Jpn. Bot. 85, 364-369 (2010)"," ","rbcL","131021"
"AB598810","Group 814","REDUNDANT","Free-living","Ulva prolifera",""," "," ","Horimoto","Unpublished"," ","rbcL","131021"
"AB598811","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Horimoto","Unpublished"," ","rbcL","131021"
"AB598812","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Horimoto","Unpublished"," ","rbcL","131021"
"AB598813","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Horimoto","Unpublished"," ","rbcL","131021"
"AB598814","UNIQUE","IN TREE","Free-living","Ulva sp.",""," "," ","Horimoto","Unpublished"," ","rbcL","131021"
"AB602850","UNIQUE","IN TREE","Free-living","Chlamydomonas neoplanoconvexa","","IiS0801D6"," ","Nakada","Phycological Res. 59, 194-199 (2011)"," ","rbcL","131021"
"AB603749","UNIQUE","IN TREE","Free-living","Gungnir sp.","","NIES-1851"," ","Nakada","Unpublished"," ","rbcL","131021"
"AB623038","UNIQUE","IN TREE","Free-living","Gonium pectorale","","Mongolia 1"," ","Setohigashi","PLoS ONE 6 (4), E19545 (2011)","21559302","rbcL","131021"
"AB663322","Group 040","IN TREE","Free-living","Volvox kirkiorum","","2006-728-2-B8"," ","Isaka","J. Phycol. 48, 759-767 (2012)"," ","rbcL","131021"
"AB663325","Group 040","REDUNDANT","Free-living","Volvox kirkiorum","","NIES-543"," ","Isaka","J. Phycol. 48, 759-767 (2012)"," ","rbcL","131021"
"AB663328","Group 020","REDUNDANT","Free-living","Volvox ferrisii","","I-ro"," ","Isaka","J. Phycol. 48, 759-767 (2012)"," ","rbcL","131021"
"AB663331","Group 020","REDUNDANT","Free-living","Volvox ferrisii","","I-he"," ","Isaka","J. Phycol. 48, 759-767 (2012)"," ","rbcL","131021"
"AB663334","Group 020","REDUNDANT","Free-living","Volvox ferrisii","","40225-VG-17"," ","Isaka","J. Phycol. 48, 759-767 (2012)"," ","rbcL","131021"
"AB663337","Group 020","IN TREE","Free-living","Volvox ferrisii","","2004-706-Vx2"," ","Isaka","J. Phycol. 48, 759-767 (2012)"," ","rbcL","131021"
"AB713414","UNIQUE","IN TREE","Hydra magnipapillata","Chlorococcum sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB713415","UNIQUE","IN TREE","Hydra ","Chlorella sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB713416","UNIQUE","IN TREE","Hydra ","Chlorella sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB713417","Group 077","REDUNDANT","Hydra ","Chlorella sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB713418","Group 077","IN TREE","Hydra ","Chlorella sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB713419","Group 081","IN TREE","Hydra ","Chlorella sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB713420","Group 081","REDUNDANT","Hydra ","Chlorella sp.",""," "," ","Kawaida","Mol. Phylogenet. Evol. 66 (3), 906-914 (2013)","23219706","rbcL","131021"
"AB741533","UNIQUE","IN TREE","Free-living","Ulva linza","","E32"," ","Ichihara","Unpublished"," ","rbcL","131021"
"AB741534","Group 022","REDUNDANT","Free-living","Ulva pertusa","","Upk5"," ","Ichihara","Unpublished"," ","rbcL","131021"
"AB741536","UNIQUE","IN TREE","Free-living","Ulva sp.","","CU014"," ","Ichihara","Unpublished"," ","rbcL","131021"
"AF089834","UNIQUE","IN TREE","Free-living","Chloromonas sp.","","ANT1"," ","Devos","Plant Physiol. 118 (4), 1534 (1998)"," ","rbcL","131021"
"AF189063","UNIQUE","IN TREE","Free-living","Prasiola fluviatilis",""," "," ","Sherwood","Phycologia 39, 139-146 (2000)"," ","rbcL","131021"
"AF189064","Group 076","REDUNDANT","Free-living","Prasiola furfuracea",""," "," ","Sherwood","Phycologia 39, 139-146 (2000)"," ","rbcL","131021"
"AF189065","Group 076","IN TREE","Free-living","Prasiola linearis",""," "," ","Sherwood","Phycologia 39, 139-146 (2000)"," ","rbcL","131021"
"AF189066","Group 076","REDUNDANT","Free-living","Prasiola meridionalis",""," "," ","Sherwood","Phycologia 39, 139-146 (2000)"," ","rbcL","131021"
"AF189067","UNIQUE","IN TREE","Free-living","Rosenvingiella constricta",""," "," ","Sherwood","Phycologia 39, 139-146 (2000)"," ","rbcL","131021"
"AF189068","UNIQUE","IN TREE","Free-living","Leptosira erumpens",""," "," ","Sherwood","Phycologia 39, 139-146 (2000)"," ","rbcL","131021"
